,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,has_company,has_agent,had_previous_cancellation,has_special_requests,has_booking_changes,needs_parking,log_lead_time,total_nights,country_freq,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,market_segment_Other,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,distribution_channel_Undefined,customer_type_Other,customer_type_Transient,customer_type_Transient-Party,season_Ete,season_Hiver,season_Printemps
3648,0.5719715500142429,2015,1.9017800608498012,30,4,2,0,0,0,0,0,0.0,0,6.802618318946259,0.7208429842664247,0,0,0,1,0,0,0,0,0.7904762475171625,0.22762153469039376,0.40728584461478773,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
12751,0.19707618649249484,2017,0.064536542858015,15,5,2,0,0,0,0,0,3.0,0,-0.13252631888727007,1.627780219116948,0,0,0,1,0,0,0,0,0.6188115789690797,1.4096875582525654,0.027998280255444985,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
23404,-0.6464383814314384,2016,-0.743850605058371,23,1,2,0,0,0,0,0,4.0,1,-0.13252631888727007,-0.10269772324152182,1,1,0,1,0,1,1,1,-0.16120493232221114,-0.5604224810177207,0.40728584461478773,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
19118,-0.8620032154564435,2015,1.6078210979711154,5,1,2,0,0,0,0,0,3.0,0,-0.13252631888727007,-0.9908707394399654,0,1,0,1,0,1,0,0,-0.7954039875745028,-0.1664004731636635,0.07105481161456749,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
40428,0.05649042517183929,2015,0.21151602429735789,25,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.15482055283063234,0,0,0,1,0,0,0,0,0.5398912838141138,-0.1664004731636635,0.03138533812904376,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
46742,0.4313857886935874,2016,-1.6992172344140999,18,4,1,0,0,0,0,0,0.0,1,3.4487368957316833,-0.4571329644474735,0,0,0,1,0,0,1,0,0.7315075776164512,0.621643542544451,0.40728584461478773,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
97832,-0.2434258656455592,2016,0.8729236907744009,18,1,2,0,0,0,0,0,3.0,1,-0.13252631888727007,1.177438971467033,1,1,0,1,0,1,1,1,0.3281434480549909,-0.1664004731636635,0.061449409099965394,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
115869,-0.40275639514230216,2017,0.064536542858015,10,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.6426902377847071,0,0,0,1,0,0,0,0,0.17727013023625113,-0.5604224810177207,0.061449409099965394,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
114406,0.21582095466858223,2017,-0.15593267930099936,19,2,3,0,0,0,0,0,3.0,0,-0.13252631888727007,1.2524958460753521,0,0,0,1,0,0,0,0,0.6286170878879866,-0.1664004731636635,0.018392877740842885,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
76198,1.4623480383783947,2015,-0.00895319786165646,4,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.8324173374890693,0,0,0,1,0,0,0,0,1.0722397762678868,0.22762153469039376,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
86776,-0.2715430179096903,2016,-0.8908300864977139,4,4,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.2997220190883597,0,1,0,1,0,1,0,0,0.3040383623468816,0.621643542544451,0.019787548629971792,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
26377,0.4313857886935874,2016,0.21151602429735789,23,5,2,1,1,0,0,0,3.0,2,-0.13252631888727007,1.825846971555568,0,3,0,1,0,1,1,0,0.7315075776164512,1.4096875582525654,0.00010486247286683515,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
81972,0.1033523456120578,2016,-1.0378095679370567,20,0,1,0,0,0,1,0,0.0,0,1.118073533836809,-0.6656242828039156,0,0,0,1,1,0,0,0,0.5673246613890804,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
58501,3.346197240075179,2016,1.0933929129334152,13,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.8324173374890693,0,0,0,1,0,0,0,0,1.4277931708169318,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
113460,2.3246073744784153,2017,-0.3029121607403423,4,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.37894872006380764,0,1,0,1,0,1,0,0,1.260243539282006,0.22762153469039376,0.061449409099965394,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
35882,-0.974471824512968,2017,-0.6703608643386995,2,2,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.7490208101464925,0,1,0,1,0,1,0,0,-2.3924362273196893,-0.5604224810177207,0.0037226177867726476,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
807,-0.39338401105425846,2015,0.28500576501702934,30,3,2,0,0,0,0,0,4.0,0,-0.13252631888727007,1.0961273573080206,0,0,0,1,0,0,0,0,0.18723253393941167,0.22762153469039376,0.40728584461478773,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
15527,-0.627693613255351,2015,0.21151602429735789,19,3,2,0,0,0,0,0,3.0,0,-0.13252631888727007,0.9387164119489064,0,2,0,1,0,1,0,0,-0.12754068268278648,0.621643542544451,0.40728584461478773,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
27883,-0.6558107655194821,2016,0.7994339500547295,11,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,0.8146640775268236,1,3,0,1,0,1,0,1,-0.1787451611796863,-0.1664004731636635,0.07105481161456749,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
13142,2.5682893607675514,2017,0.28500576501702934,1,10,2,0,0,0,0,0,0.0,0,-0.13252631888727007,7.257045814740885,0,0,0,1,0,0,0,0,1.3044931941467217,4.167841613230967,0.40728584461478773,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
74900,2.080925388189279,2015,0.725944209335058,8,1,2,0,0,0,1,0,0.0,0,-0.13252631888727007,-0.8741156011603578,0,0,0,1,1,0,0,0,1.2126069026213762,-0.954444488871778,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2657,0.4126410205175,2015,1.1668826536530867,24,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-1.1451543150237324,0,0,0,0,0,0,0,0,0.7232056286496117,-0.954444488871778,0.40728584461478773,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
99740,2.165276844981672,2016,1.0933929129334152,13,3,2,0,0,0,0,0,0.0,1,-0.13252631888727007,-0.24864164609103132,0,1,0,1,0,1,1,0,1.2295121115890126,-0.1664004731636635,0.08782232102597444,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
90277,-0.2527982497336029,2016,-0.3029121607403423,31,4,2,2,0,0,0,0,5.0,2,-0.13252631888727007,2.0218288108106237,0,1,0,1,0,1,1,0,0.32021165992423617,0.22762153469039376,0.03138533812904376,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
28447,-0.9369822881607932,2016,1.019903172213744,4,0,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-2.1250635112990106,0,0,0,1,0,0,0,0,-1.3903407175006453,-1.3484664967258353,0.40728584461478773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48879,-0.2059363292933844,2016,-0.9643198272173853,1,2,2,0,0,0,0,0,3.0,0,-0.13252631888727007,-0.11729211552647283,0,0,0,1,0,0,0,0,0.3588972024874945,-0.5604224810177207,0.03138533812904376,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
67748,0.5438543977501118,2017,-0.6703608643386995,6,1,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.4571329644474735,0,0,0,1,0,0,0,0,0.779120851665994,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
105197,-0.9276099040727495,2017,-1.6257274936944284,1,1,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.0818485914058776,0,1,0,1,0,1,0,0,-1.2768205798209502,-0.954444488871778,0.017784675398215242,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
74761,1.2842727407055643,2015,1.1668826536530867,19,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.8741156011603578,0,0,0,1,0,0,0,0,1.0251792063438256,-0.1664004731636635,0.01751203296876147,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
11967,1.8653605541642737,2017,-0.3029121607403423,5,5,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.4550480512639092,0,0,0,1,0,0,0,0,1.1671964524062177,1.4096875582525654,0.027998280255444985,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
37133,1.0218459862403406,2017,-0.44989164217968514,25,10,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.3591420448199456,0,0,0,1,0,0,0,0,0.9486187018000194,4.167841613230967,0.10131812128393612,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
78921,-0.6464383814314384,2015,1.0933929129334152,17,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,0.06096796166828515,0,1,0,1,0,1,0,0,-0.16120493232221114,-0.5604224810177207,0.07105481161456749,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
82875,-0.33714970652599624,2016,-1.405258271535414,17,2,2,0,0,0,1,0,0.0,0,-0.13252631888727007,-0.5613786236256946,0,0,0,1,1,0,0,0,0.24387492427700463,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
112923,-0.9276099040727495,2017,-0.37640190146001373,29,0,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-2.1250635112990106,0,0,1,0,0,0,0,0,-1.2768205798209502,-0.954444488871778,0.40728584461478773,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
70660,-0.280915401997734,2017,-0.15593267930099936,20,2,3,2,0,0,0,0,5.0,5,-0.13252631888727007,4.515384978353672,0,1,0,1,0,1,1,0,0.29579139478747,-0.5604224810177207,0.03138533812904376,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
31799,-0.7307898382238317,2017,-1.9196864565731142,2,4,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.999210392174223,1,1,0,1,0,1,0,1,-0.340326419912476,0.621643542544451,0.10131812128393612,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
60324,1.6216785678751375,2016,1.387351875812101,7,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.040150327734589174,0,0,0,0,0,0,0,0,1.1115286074984703,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
5739,1.2374108202653458,2016,-0.5233813828993567,12,3,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-1.1243051831880884,0,0,0,1,0,0,0,0,1.0121800505240621,0.22762153469039376,0.40728584461478773,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
76293,0.40326863642945626,2015,0.21151602429735789,21,2,1,0,0,0,1,0,0.0,0,-0.13252631888727007,-2.1250635112990106,0,0,0,1,1,0,0,0,0.7190127714043786,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
66641,0.4501305568696748,2017,-0.8173403457780424,22,2,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.14439598691281025,0,0,0,1,0,0,0,0,0.7397002872395277,0.22762153469039376,0.40728584461478773,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
15916,0.5251096295740244,2015,0.3584955057367008,3,4,2,0,1,0,0,0,0.0,0,-0.13252631888727007,0.3747473957947308,1,3,0,0,0,1,0,1,0.7714338781288923,0.621643542544451,0.40728584461478773,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
99219,-0.8994927518086184,2016,1.019903172213744,7,2,2,0,0,0,0,0,3.0,1,-0.13252631888727007,1.6069310872813038,1,2,0,1,0,1,1,1,-1.024363022381547,0.22762153469039376,0.03138533812904376,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
21775,-0.7776517586640502,2016,-1.1847890493763997,9,1,1,0,0,0,0,0,0.0,1,-0.13252631888727007,-1.4078533761528496,0,1,0,1,0,1,1,0,-0.4678389879730977,-0.954444488871778,0.40728584461478773,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
28863,0.7031849272468548,2016,1.0933929129334152,9,1,2,0,0,0,0,0,0.0,1,-0.13252631888727007,-0.4988312281187619,1,2,0,1,0,1,1,1,0.8408905774968332,-0.1664004731636635,0.40728584461478773,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
53851,-0.627693613255351,2016,-0.00895319786165646,1,1,2,0,0,0,0,0,3.0,0,-0.13252631888727007,0.6145124119046392,0,0,0,1,0,0,0,0,-0.12754068268278648,-0.954444488871778,0.03138533812904376,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
3697,0.5719715500142429,2015,1.9017800608498012,30,4,2,0,0,0,0,0,0.0,0,6.802618318946259,0.7208429842664247,0,0,0,1,0,0,0,0,0.7904762475171625,0.22762153469039376,0.40728584461478773,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
34275,0.7125573113348985,2017,-1.405258271535414,25,15,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-1.0200595240098673,0,0,0,1,0,0,0,0,0.844340098497364,6.925995668209366,0.40728584461478773,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
27554,-0.7589069904879628,2016,0.5789647278957152,26,5,2,0,0,0,0,0,3.0,0,-0.13252631888727007,1.7445353573965554,0,1,0,1,0,1,0,0,-0.41366248976161407,1.4096875582525654,0.017784675398215242,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
72416,-0.280915401997734,2017,0.21151602429735789,28,2,3,0,0,0,0,0,3.0,0,-0.13252631888727007,3.1289177112833313,0,2,0,1,0,1,0,0,0.29579139478747,-0.5604224810177207,0.08782232102597444,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
113667,0.25331049102075703,2017,-0.3029121607403423,8,3,2,0,0,0,0,0,0.0,0,-0.13252631888727007,0.8772114730337562,0,1,0,1,0,1,0,0,0.647776659525641,-0.1664004731636635,0.01751203296876147,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
61591,0.3564067159892378,2016,1.7548005794104584,17,4,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.3528873052692524,0,0,0,1,0,0,0,0,0.6976142067424204,1.0156655503985081,0.0038065077650661157,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
79532,-0.8245136791042688,2015,1.3138621350924296,4,2,1,0,0,0,1,0,0.0,0,-0.13252631888727007,-0.14439598691281025,0,0,1,0,1,0,0,0,-0.6283729176986143,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30270,-0.7963965268401376,2016,1.4608416165317726,15,3,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-1.4870800771282977,0,1,0,1,0,1,0,0,-0.5271826274413091,-0.1664004731636635,0.10131812128393612,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
69760,1.256155588441433,2017,-0.3029121607403423,5,5,2,0,0,0,0,0,1.0,1,-0.13252631888727007,0.09224165942175147,0,1,0,1,0,1,1,0,1.0174123245752438,1.4096875582525654,0.08782232102597444,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
64336,-0.2715430179096903,2017,-1.258278790096071,6,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.09852789687439291,0,1,0,1,0,1,0,0,0.3040383623468816,-0.1664004731636635,0.08782232102597444,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
111884,-0.48710785193469547,2017,-0.5233813828993567,16,1,2,0,1,0,0,0,0.0,0,-0.13252631888727007,1.4192889007605058,0,2,0,1,0,1,0,0,0.0796142124665982,-0.954444488871778,0.40728584461478773,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
109128,-0.9182375199847058,2017,-0.9643198272173853,6,1,3,0,0,0,0,0,0.0,2,-0.13252631888727007,1.9926400262407218,0,0,0,1,0,0,1,0,-1.1808406709987305,-0.954444488871778,0.10131812128393612,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
36816,0.9281221453599037,2017,-0.44989164217968514,25,3,2,0,0,0,0,0,0.0,2,-0.13252631888727007,-0.9533423021358057,0,0,1,0,0,0,1,0,0.9188217748297925,0.621643542544451,0.10131812128393612,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
45270,-0.32777732243795255,2015,1.2403723943727583,25,1,2,0,0,0,0,0,0.0,0,3.164509656476211,-0.3389183869393707,0,0,0,1,0,0,0,0,0.252833883849982,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
26702,-0.9369822881607932,2017,0.28500576501702934,5,1,1,0,0,1,1,1,4.0,0,-0.13252631888727007,2.8595469279668086,0,0,0,0,1,0,0,0,-1.3903407175006453,-0.1664004731636635,0.40728584461478773,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
16934,-0.9182375199847058,2016,1.1668826536530867,19,2,1,0,0,1,1,4,0.0,0,-0.13252631888727007,-1.186852578695021,0,0,1,0,1,0,0,0,-1.1808406709987305,-0.5604224810177207,0.40728584461478773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68258,0.00025612064357707166,2017,-0.5233813828993567,15,2,1,0,0,0,0,0,0.0,0,-0.13252631888727007,1.2107975824040638,0,0,0,0,0,0,0,0,0.5052914412893846,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
532,-0.374639242878171,2015,0.13802628357768645,18,5,2,0,0,0,0,0,3.0,0,-0.13252631888727007,0.5488376466223599,0,1,0,0,0,1,0,0,0.20669152224454115,1.4096875582525654,0.40728584461478773,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
64098,4.658331012401297,2017,-1.3317685308157425,2,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.8324173374890693,0,0,0,1,0,0,0,0,1.5926005349434145,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
20578,-0.974471824512968,2016,-1.5522377529747569,4,1,1,0,0,1,0,0,0.0,0,-0.13252631888727007,-1.3119473697088861,0,0,0,0,0,0,0,0,-2.3924362273196893,-0.954444488871778,0.40728584461478773,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
73718,1.4436032702023072,2015,-0.00895319786165646,2,2,2,0,0,1,1,0,0.0,0,-0.13252631888727007,-0.8157380320205541,0,0,0,1,1,0,0,0,1.0674502376660013,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
94425,0.506364861397937,2016,0.28500576501702934,28,5,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.2136151046071489,0,1,0,1,0,1,0,0,0.7636508149356692,1.4096875582525654,0.0035653240774723947,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
18688,-0.974471824512968,2015,1.534331357251444,26,0,2,0,0,1,0,0,0.0,0,-0.13252631888727007,-2.1250635112990106,0,1,0,1,0,1,0,0,-2.3924362273196893,-1.3484664967258353,0.40728584461478773,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
82229,0.9281221453599037,2016,-0.3029121607403423,2,3,2,0,0,0,1,0,0.0,0,2.198137043007604,-0.7698699419821367,0,0,0,1,1,0,0,0,0.9188217748297925,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
16524,-0.7120450700477443,2015,0.5789647278957152,28,3,3,0,0,0,0,0,0.0,1,-0.13252631888727007,0.13373143177468366,0,1,0,1,0,1,1,0,-0.2958334286702553,0.621643542544451,0.10131812128393612,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
70332,-0.7120450700477443,2017,-0.22942242002067081,15,3,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.4550480512639092,0,0,0,1,0,0,0,0,-0.2958334286702553,-0.1664004731636635,0.40728584461478773,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
51677,0.506364861397937,2016,-0.37640190146001373,24,2,1,0,0,0,0,0,0.0,0,1.6296825644966595,0.5853236273347373,0,0,0,1,0,0,0,0,0.7636508149356692,-0.5604224810177207,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
97341,2.268373069950153,2016,0.7994339500547295,13,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,0.272586649800074,0,1,0,1,0,1,0,0,1.2495695016201795,-0.5604224810177207,0.061449409099965394,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
27421,0.1127247297001015,2016,0.5054749871760437,20,6,2,2,0,0,0,0,2.0,1,-0.13252631888727007,2.8391147787678768,0,0,0,1,0,0,1,0,0.5726692173636394,2.19773157396068,0.07105481161456749,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
57561,-0.07472295206077255,2016,0.9464134314940724,27,3,2,0,0,0,0,0,0.0,0,-0.13252631888727007,0.4249938035186333,0,1,0,1,0,1,0,0,0.45594785439047325,-0.1664004731636635,0.008493860302213647,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
99606,-0.4777354678466518,2016,1.0933929129334152,14,1,2,0,0,0,0,0,0.0,1,-0.13252631888727007,0.3768323089782951,0,0,0,1,0,0,1,0,0.09125262511719205,-0.954444488871778,0.40728584461478773,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
88167,0.009628504731620774,2016,-0.6703608643386995,29,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.15482055283063234,0,0,0,1,0,0,0,0,0.511193257496266,-0.1664004731636635,0.03138533812904376,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
